Shooter,Shots Attempted,qSI,qSI (sum),SSI Player ID
Marcus Garrett,128,-3.28,-420.26,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Caleb Love,127,-9.50,-1207.00,163d0a85-fc13-4c76-8e98-93aae28417d2
DaJuan Gordon,127,7.55,958.46,b7cd24eb-bd7e-4dcc-99a2-7236606d1541
Bronny James,126,0.53,67.01,ec9d7a06-798b-45e0-8eae-a5bfdd92f0ba
Chaney Johnson,124,3.77,467.06,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Kobe Stewart,124,-6.89,-854.26,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Tre King,124,0.61,75.44,2928912b-dd61-4f60-aa20-a01d295e03d6
Jason Preston,123,-0.98,-120.66,b609ade3-6177-4d12-8f4d-e717beb97f97
Nick Jourdain,122,-9.03,-1101.15,1faa4121-7c60-4b48-91c7-217d64555324
Stefan Todorovic,121,-12.24,-1481.44,a0dbe31a-75c6-4777-a920-d506c5633bdf
Coleman Hawkins,121,-11.95,-1446.55,769be316-e69b-4438-a859-7fbbad08accf
Deivon Smith,120,-3.01,-361.52,9ffb6f28-8fa0-4650-bd30-47f8aa7235a2
Tyson Degenhart,119,0.19,22.04,7ce310e3-5034-435f-85fd-9db70356ed75
Liam McNeeley,119,-0.80,-94.97,ba22d012-f7ce-4a1a-873e-d6c3ccf7ae5a
Alex Antetokounmpo,113,-10.92,-1233.45,34a56ad4-cc65-4406-9566-ff884e10c7af
Kadary Richmond,113,-2.33,-263.50,5f0c2302-aaca-4ac1-b70f-f25abbe14186
Giorgi Bezhanishvili,112,7.43,832.33,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Keon Johnson,111,-2.50,-277.30,7cfacef2-8c7b-41e7-9df3-4a570a6de468
PJ Hall,111,2.04,226.98,4af59bef-250a-46aa-a5d3-e448a55f61ad
Antoine Davis,111,12.14,1347.21,cc05d44b-5260-48a3-b9b6-61ce282a67c0
Zack Austin,110,8.42,925.90,cdb9a6bd-2259-43bc-9209-03da5b72234b
Tyler Polley,110,-6.80,-748.50,e48e99e8-0b78-493c-9d6f-15b65e7869c6
Mouhamadou Gueye,110,-6.82,-750.46,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Luke Travers,108,-8.88,-959.27,ef24e628-6674-47d2-8fea-a8ceb61e0fb6
Isaac Jones,108,-2.78,-300.41,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Christian Shumate,107,0.51,54.09,40ebb929-1947-4008-9cdc-046aa3a4bd87
Caleb McConnell,107,-10.69,-1143.32,9ea29be6-8741-4b28-9a3f-b73d1919c900
Matt Allocco,107,1.18,126.10,1542fce4-02f8-434c-8e0b-c655313fea33
Cameron Brown,107,-10.12,-1082.61,c2df5312-12de-4f83-9d1a-3f3c2ab6148f
D'Andre Davis,103,-14.59,-1503.06,93c1ccb9-a43d-42a7-a037-b8d2057acc02
Hank Morgan,102,7.88,803.69,29d938d7-ce0a-4aba-9b2e-b17b2e8d8ee5
Brooks Barnhizer,102,5.61,572.28,6b9ff8ac-a24a-46b2-8a4a-4f4015c6b353
Nolan Traore,100,10.20,1020.38,4b2dd1ee-169e-4af4-9877-1e600ccc1ac5
Zhuric Phelps,99,-2.58,-255.91,cbddda95-fa69-4ae6-b6b0-247f5c669b7f
Emoni Bates,99,1.49,147.72,9f1d3f5e-1bf4-4a41-81f4-516081353643
Steven Ashworth,99,12.84,1271.35,63e0883f-eae7-4a6c-ad8f-c7670247241e
John Knight III,98,-2.01,-196.69,534e334e-2adb-4b8c-9614-8552f0dc5f6d
Tyrese Hunter,97,-6.59,-638.93,4f89702e-6e19-48ef-9be1-8da8a0837a2f
CJ Huntley,97,-2.45,-237.75,a93dac29-3dee-4328-8787-673c2c4d207c
Drew Timme,96,-13.08,-1256.15,30998b89-18c0-4086-ae61-1830056bb1b7
Cam Carter,96,-2.96,-284.39,a183c842-9603-4691-9abd-612235152ad2
Terry Roberts,96,-6.19,-594.48,6b0963ac-b00e-46cd-94e8-e60dc3238718
Tamar Bates,95,21.29,2022.95,4e132a3e-20b7-4058-9b69-c71ed0bfd654
Viktor Lakhin,95,-4.77,-453.55,386162d7-b5e6-4aca-9174-cfba1382d491
Yuri Collins,94,-0.10,-9.56,7a58adf5-73d4-4f5e-b042-6ab0d8862313
Dereon Seabron,94,-5.50,-516.72,9cd83bc4-5c2c-4f4d-ba20-8fc69a4cfa8a
