Shooter,Shots Attempted,qSI (sum),SSI Player ID
Cam Young,23,115.19,f61521e8-e7f3-4526-a0fa-efedc3c820ca
Leonard Miller,5,114.05,0eaefaeb-b40c-4fc7-9086-902dc1ab2254
RJ Felton,60,112.16,a593fa2b-cb79-4f8a-8139-bba7a2133f2c
Caleb Stone-Carrawell,5,110.18,c0ac23b6-44cc-4fe7-8a81-560c7fc1003d
Lucas Williamson,45,109.27,f0ae386a-6794-4f37-b447-84822aa60c4b
Caleb Grill,34,104.32,bbae8544-616e-4d08-9a98-a20e5d47e694
D.J. Carton,120,98.46,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
Nathan Mariano,8,97.58,6e090c81-2a42-43d1-9e4e-bd5a04f09b10
Rasheer Fleming,29,97.42,4639f41a-c88b-4cf0-91c2-c36d9d4c1e5c
Brian Taylor,29,96.97,ef62751a-0816-46fa-9160-054ef9ec64e4
Nojel Eastern,58,96.91,b2251f82-7770-4e0b-994d-c33ff4a1b39d
Sean East II,70,94.55,673bd14c-085f-4173-9211-d62ae307b0e3
Cameron Smith,5,93.02,bd762247-fb20-496c-af57-0abcde142d02
Drake Powell,9,90.02,ed72fbc9-1066-46d8-872e-9a437c4e536e
Teddy Allen,126,89.50,03318058-7f1e-4d54-a8b4-cbaf7e836a78
Kadary Richmond,122,89.21,5f0c2302-aaca-4ac1-b70f-f25abbe14186
Christian Koloko,13,87.65,efbab460-ac97-49e1-aa9f-6e7da27ab2df
Markelle Fultz,20,86.43,1114f266-df53-4313-b425-0021dd87864b
Jahlil White,23,84.73,e21b31ea-a8e5-41ad-89b1-72a56bdf59e1
Cheikh Mbacke Diong,9,84.35,7efefdc5-c8ee-4221-ac12-a35549517aa2
Erik Reynolds II,17,82.71,f3572151-dba9-4dc4-a48a-792e17a3180b
Esteban Ezequiel Roacho Amador,14,81.58,2d23e4fc-8b5f-4131-af0f-83b0ae3a2c69
Derrin Boyd,6,78.12,6dfc6fb5-d921-403b-b590-c1c4c3e900a9
Maxime Raynaud,3,77.63,31a1e47b-7784-4021-b7f2-31e4ef972892
Tylor Perry,4,77.03,0b9ca9bc-f567-4768-9cc5-5e42d6fc8dce
Marquis Barnett,12,75.53,7edec21a-68b6-453a-b51f-2e3827a52d7d
Obadiah Noel,13,74.94,ae301693-1228-4496-9f09-3dede6e84191
Adou Thiero,57,71.38,9b945fc0-d3bb-405d-bf43-95c6e7d7e87b
A.J. Lawson,156,71.35,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
William Hickey,2,70.98,5673cf85-4703-43f8-b541-dd3923d4c42b
Antoine Davis,3,70.92,cc05d44b-5260-48a3-b9b6-61ce282a67c0
Taylor Hendricks,20,67.98,91ee33ca-2f8a-421c-8a4d-b0f98d5bc54c
Dwight Murray, Jr.,49,67.50,7880b823-77c5-4925-a287-1af2424a923b
Feron Hunt,13,66.74,5210db69-14a3-4c9b-ad2a-62c349f4ac65
Caleb McConnell,75,66.56,9ea29be6-8741-4b28-9a3f-b73d1919c900
Curtis Jones,63,64.44,69489a71-b1eb-4fde-b687-6385e03c1e49
Pierre Crockrell II,13,63.45,1a254905-e1db-43b8-9f5c-b1bf4e663150
Julian Phillips,22,62.60,76ada8a1-6ec8-4915-b57e-fa234b1f2788
Chandler Baker,3,62.17,db071247-1883-4852-b647-0b794ee7cdee
Justin Jackson,25,60.79,0867f70d-4848-4664-82fb-db397233e78f
Trevon Duval,4,57.09,94ca1f88-1f26-4d28-aeba-c686a5dde5e2
Nick Jourdain,133,55.99,1faa4121-7c60-4b48-91c7-217d64555324
Tyler Smith,122,54.13,b701694c-6da2-49de-b9a7-ae092466ce67
Craig Randall II,22,51.14,57c94d1b-101e-4b0a-afc5-d9716233e92d
Cam Christie,6,49.78,8a68ba44-d87b-41c9-94f3-c94e88cb37a0
Giddy Potts,6,49.71,7ac29d25-418d-4bf3-b302-cda0f4aa7cae
Adama Bal,16,49.52,3559f9a3-9132-409e-a701-a4c5757cb325
Trevon Scott,116,47.48,fc067294-4b2b-42aa-bea6-88cda36ce6d2
Carter Bryant,4,47.46,18dc7187-8fc5-47bf-9779-e7a7694c498c
Mohamed Diawara,4,45.82,cb172f69-5e77-4552-a43b-b2993cb7f689
Eric Ayala,11,45.57,0ed3aa02-c44c-4b25-a16c-d448d88b92ea
Hayden Gray,88,44.90,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Noa Essengue,20,43.23,fe09888e-ef47-4152-a457-e6f4e04aee54
Geronimo Rubio De La Rosa,5,41.82,5bc79052-06fe-4165-bc0d-7121fc331302
Michael Caicedo,2,41.79,315d7d14-0a97-43d5-bbf8-4b59a0938e21
Jahmir Young,139,39.83,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Walter Clayton Jr.,6,36.82,ae81ff91-c142-4a68-b826-4ae75af6a94f
Trhae Mitchell,41,34.37,d98ecec8-9937-426e-ba9a-e019ec88d94f
Jahmyl Telfort,76,30.66,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
